Job Code,City,State,County,Bidding Contractors,Job Status
BQH,Palmetto,Florida,Manatee County,,In Production
BOZ,Bradenton,Florida,Manatee County,,In Production
BPK,St. Cloud,Florida,Osceola County,,Completed
BPR,Pensacola,Florida,,,In Production
BQC,Palmetto,Florida,Manatee County,,In Production
BPG,Sayreville,New Jersey,,,In Production
BPZ,Jacksonville,Florida,Duval County,,In Production
BOH,Melbourne,Florida,Brevard County,,In Production
BQD,Pensacola,Florida,,,In Production
BQL,Crystal River,Florida,,,In Production
BPD,Palmetto,Florida,Manatee County,,In Production
BPP,Bryans Road,Maryland,Charles County,,In Production
BOP,Mount Pleasant,South Carolina,,,In Production
BSH,Climax,North Carolina,,,In Production
BVN,Wake County,North Carolina,Wake County,,In Production
BSU,Keswick,Virginia,,,In Production
BVR,Boliva,North Carolina,,,In Production
BVM,Sayerville,New Jersey,,,In Production
BUP,Clayton,North Carolina,,,In Production
BTU,Sanford,North Carolina,,,In Production
BUV,Waldorf,Maryland,,,In Production
BUX,Swiftwater,Pennsylvania,,,In Production
BVC,Oak Island,North Carolina,,,In Production
BWF,Troy,North Carolina,Rensselaer County,,Completed
BWG,Jacksonville,Florida,Duval County,,Completed
BWI,Gainesville,Florida,Alachua County,,Completed
BWN,Piedmont,South Carolina,,,In Production
BWQ,Norfolk,Virginia,Norfolk County,,Completed
BWR,Bradenton,Florida,Manatee County,,Completed
BXD,,Florida,Manatee County,,In Production
BXI,Jacksonville,Florida,Duval County,,In Production
BXK,St. Cloud,Florida,Osceola County,,In Production
BXU,Jacksonville,Florida,Duval County,,Completed
BXQ,,Florida,Manatee County,,Completed
BXV,Jacksonville,Florida,Duval County,,Completed
BYA,Gainesville,Florida,Alachua County,,Completed
BXW,Jacksonville,Florida,Duval County,,Completed
BWT,,North Carolina,,,In Production
BYP,,Florida,Manatee County,,In Production
BYQ,,Florida,Manatee County,,Completed
BYS,Parrish,Florida,Manatee County,,Completed
BYT,Jacksonville,Florida,Duval County,,Completed
BYX,Ocean Springs,MIssissippi,Jackson county,,Completed
BYY,Peachtree Corners,Georgia,Gwinnett County,,Completed
BZA,Bradenton,Florida,Manatee County,,Completed
BZB,Parrish,Florida,Manatee County,,Completed
BZC,Jacksonville,Florida,Duval County,,Completed
BZD,Greenville,South Carolina,,,In Production
BZF,Melbourne,Florida,Brevard County,,Completed
BZG,St. Cloud,Florida,Osceola County,,Completed
BZN,Edgewater,Florida,Volusia County,,Completed
BZL,St. Cloud,Florida,Osceola County,,Completed
BZM,St. Cloud,Florida,Osceola County,,Completed
BZJ,Jacksonville,Florida,Duval County,,In Production
CAC,Jacksonville,Florida,Duval County,,Completed
CAE,Inverness,Florida,Citrus County,,Completed
CAG,Parrish,Florida,Manatee County,,Completed
CAI,Palmetto,Florida,Manatee County,,Completed
CAF,Parrish,Florida,Manatee County,,Completed
CAR,Palmetto,Florida,Manatee County,,Completed
CAS,Bradenton,Florida,Manatee County,,Completed
CBL,Gainesville,Florida,Alachua County,,Completed
CBK,Palmetto,Florida,Manatee County,,Completed
CBE,Summerville,South Carolina,,,Completed
CAT,High Point,North Carolina,,,Completed
CBO,Supply,North Carolina,Brunswick County,,Completed
CFD,Parrish,Florida,Manatee County,,Completed
CFH,Palmetto,Florida,Manatee County,,Completed
CBT,,North Carolina,Brunswick County,,In Production
CBU,,Florida,Manatee County,,In Production
CGT,,Florida,Manatee County,,Completed
CGQ,Jacksonville,Florida,Duval County,,Completed
CBW,,Florida,Manatee County,,In Production
CBY,,Florida,,,In Production
CCC,,Florida,Polk County,,Completed
CCK,,Florida,Osceola County,,Completed
CCT,,Florida,,,Completed
CCF,,Florida,,,Completed
CCQ,,Florida,,,Completed
CDL,,Florida,Manatee County,,Completed
CDO,,Florida,Manatee County,,Completed
CDP,,Florida,Manatee County,,Completed
CEH,,Florida,Manatee County,,Completed
CEB,,Florida,Duval County,,Completed
CEG,,Florida,Manatee County,,Completed
CFU,,North Carolina,Brunswick County,,Completed
CGD,Jacksonville,Florida,Duval County,,Completed
CGE,Jacksonville,Florida,Duval County,,Completed
CFL,Palmetto,Florida,Manatee County,,Completed
CFR,Parrish,Florida,Manatee County,,Completed
CGG,,Florida,Manatee County,,Completed
CGC,Jacksonville,Florida,Duval County,,Completed
CFN,,North Carolina,Brunswick County,,Completed
CFS,Jacksonville,Florida,Duval County,,Completed
CFY,Homosassa,Florida,Citrus County,,Completed
CFW,Lakewood Ranch,Florida,Manatee County,,Completed
CGL,St. Cloud,Florida,Osceola County,,Completed
CHU,,,,,In Production
CGN,,Florida,Manatee County,,Completed
CHC,,Florida,Manatee County,,Completed
CGV,St. Cloud,Florida,Osceola County,,Completed
CHK,,North Carolina,,,Completed
CHT,Parrish,Florida,Manatee County,,Completed
CHD,,Georgia,Bartow County,,In Production
CGU,Jacksonville,Florida,Duval County,,Completed
CHJ,St. Cloud,Florida,Osceola County,,Completed
CHA,,Florida,Manatee County,,Completed
CHI,,Florida,Manatee County,,Completed
CIH,,Florida,Manatee County,,Completed
CID,,Florida,Manatee County,,Completed
CJB,,Florida,Manatee County,,Completed
CKG,,Florida,Manatee County,,Completed
CJS,,Florida,Manatee County,,Completed
CIL,,Florida,Manatee County,,Completed
CJR,,Florida,Manatee County,,Completed
CJC,Jacksonville,Florida,Duval County,,Completed
CIO,St. Cloud,Florida,Osceola County,,Completed
CJG,,Florida,Manatee County,,Completed
CJF,Jacksonville,Florida,Duval County,,Completed
CJP,,Florida,Manatee County,,In Production
CIM,,Florida,Manatee County,,Completed
CJN,,Florida,Manatee County,,Completed
CJU,St. Cloud,Florida,Osceola County,,Completed
CJK,St. Cloud,Florida,Osceola County,,Completed
CKY,St. Cloud,Florida,Osceola County,,Completed
CKW,,Florida,Manatee County,,Completed
CKS,St. Cloud,Florida,Osceola County,,Completed
CLB,St. Cloud,Florida,Osceola County,,Completed
CLL,Jacksonville,Florida,Duval County,,Completed
DNY,,Florida,Manatee County,DEME,Completed
CMB,Gainesville,Florida,,,Completed
CMR,Palmetto,Florida,Manatee County,,Completed
CNH,Bradenton,Florida,Manatee County,,Completed
CMC,,Florida,Manatee County,,Completed
CMZ,Jacksonville,Florida,Duval County,,Completed
COD,Lakeland,Florida,Polk County,,Completed
CMY,Bradenton,Florida,Manatee County,,Completed
CNI,Deleon Springs,Florida,Volusia County,,Completed
CND,Port St. Lucie,Florida,St. Lucie County,,Completed
CMD,,Florida,Manatee County,,Completed
CNW,Palmetto,Florida,Manatee County,,Completed
COL,Palmetto,Florida,Manatee County,,Completed
COS,St. Cloud,Florida,Osceola County,,Completed
COV,Pensacola,Florida,Escambia County,,Completed
CHD,,Georgia,,,In Production
CTC,Jacksonville,Florida,Duval County,,Completed
COZ,Bradenton,Florida,Manatee County,,Completed
CSR,Melbourne,Florida,Brevard County,,Completed
CST,Jacksonville,Florida,Duval County,,Completed
CRZ,Jacksonville,Florida,Duval County,,Completed
CPH,St. Cloud,Florida,Osceola County,,Completed
CPN,Parrish,Florida,Manatee County,,Completed
CPY,Bradenton,Florida,Manatee County,,Completed
CPO,Jacksonville,Florida,Duval County,,Completed
CPS,Port St. Lucie,Florida,St. Lucie County,,Completed
CPP,Jacksonville,Florida,Duval County,,Completed
CQG,Bradenton,Florida,Manatee County,,Completed
CQK,Palmetto,Florida,Manatee County,,Completed
CQL,Bradenton,Florida,Manatee County,,Completed
CQV,Jacksonville,Florida,Duval County,,Completed
CQR,Parrish,Florida,Manatee County,,Completed
CQZ,Jacksonville,Florida,Duval County,,Completed
CRD,St. Cloud,Florida,Osceola County,,Completed
CSB,St. Cloud,Florida,Osceola County,,Completed
CRU,Riverview,Florida,Hillsborough County,,Completed
CRT,Sarasota,Florida,Manatee County,,Completed
CRO,Gainesville,Florida,Alachua County,,Completed
CSH,Jacksonville,Florida,Duval County,,Completed
CSI,Gainesville,Florida,Alachua County,,Completed
CSF,Jacksonville,Florida,Duval County,,Completed
CSL,Pensacola,Florida,Escambia County,,Completed
CTH,Maxton,North Carolina,Robeson,,Completed
CQW,Raleigh,North Carolina,,,Completed
CSP,Lithia Springs,Georgia,,,Completed
CTN,Ash,North Carolina,Brunswick County,,Completed
CTP,Culpeper,Virginia,,,Completed
CTR,Mcleon,North Carolina,Fairfax,,Completed
CTS,Bradenton,Florida,Manatee County,,Completed
CTZ,Palmetto,Florida,Manatee County,,Completed
CTW,Bradenton,Florida,Manatee County,,Completed
CUA,Bradenton,Florida,Manatee County,,Completed
CUB,Naples,Florida,,,Completed
CUD,Jacksonville,Florida,Duval County,,Completed
CKA,Greenville,South Carolina,Greenville County,,Completed
CNX,High Point,North Carolina,,,Completed
CVC,Rocky Mount,North Carolina,Nash,,Completed
CVD,Raleigh,North Carolina,Wake County,,Completed
CVB,Bradenton,Florida,Manatee County,,Completed
CVH,St. Cloud,Florida,Osceola County,,Completed
CVJ,Jacksonville,Florida,Duval County,,Completed
CVM,Lawrenceville,Georgia,Gwinnett County,,Completed
CTA,Jefferson,Georgia,Jackson county,,Completed
CVO,Jacksonville,Florida,Duval County,,Completed
CVP,Parrish,Florida,Manatee County,,Completed
CVU,Sayreville,North Carolina,Middlesex,,Completed
CVV,,North Carolina,,,Completed
CQJ,Citrus Hill,Florida,Citrus County,,Completed
CWC,Palmetto,Florida,Manatee County,,Completed
CWF,Parrish,Florida,Manatee County,,In Production
CWH,St. Cloud,Florida,Osceola County,,Completed
CWI,Palmetto,Florida,Manatee County,,Completed
CWJ,Gainesville,Florida,Alachua County,,Completed
CWL,Parrish,Florida,Manatee County,,Completed
CWK,Parrish,Florida,Manatee County,,Completed
CWM,Ormond Beach,Florida,Volusia County,,Completed
CWO,Bradenton,Florida,Manatee County,,Completed
CWR,New Port Richie,Florida,Pasco County,,Completed
CWW,St. Cloud,,Osceola County,,Completed
CWV,St. Cloud,Florida,Osceola County,,In Production
CWY,St. Cloud,Florida,Osceola County,,Completed
CXE,Parrish,Florida,Manatee County,,In Production
CXH,Calabash,North Carolina,Brunswick County,,Completed
CXJ,Bradenton,Florida,Manatee County,,Completed
CXK,Navassa,North Carolina,Brunswick County,,Completed
CXL,,Florida,Manatee County,,Completed
CXM,Gainesville,Florida,Alachua County,,Completed
CXN,Parrish,Florida,Manatee County,,Completed
CXO,Peachtree Corners,Georgia,Gwinnett County,,Completed
CXS,Lakeland,Florida,Polk County,,Completed
CXT,,North Carolina,New Hanover,,Completed
CYT,Wimauma,Florida,Manatee County,ET Makenzie Co.,In Production
DJG,Frisco,Texas,,,In Production
DDD,,Florida,Duval County,Ferreira Construction,Completed
DRI,,Florida,Osceola County,"WD Site Development, WalRose",Completed
DBP,Live Oak,Florida,Osceola County,John M Hall,Completed
CYU,Sayreville,New Jersey,Middlesex,,Completed
DEF,,California,Placer County,,Completed
DMH,Houston,Texas,Houston County,,In Production
CYX,Liberty,North Carolina,Liberty County,,Completed
DAR,Parrish,Florida,Manatee County,Rusty Plumbing,Completed
CYC,,Florida,Duval County,,Completed
DDK,,Florida,Alachua County,Utility Service of Gainesville Inc,Completed
CYK,Sarasota,Florida,Manatee County,,In Production
CYS,Sanford,Florida,Brevard County,,In Production
DBW,Lakeland,Florida,Polk County,,In Production
DOP,Pleasant Grove,California,Sutter County,"Auburn Constructors, GSE Construction Company, GSW Construction, Marques Engineering, T&S Construction",Completed
CKQ,,Texas,Shertz,,In Production
CZV,Venize,Florida,Manatee County,,Completed
DLZ,,Florida,TOHO,Southern Development & Construction Inc.,Completed
CYG,,Kansas,Dodge City,,Opportunity  Lost
CYQ,Sarasota,Florida,Manatee County,,Completed
CWE,,,,,Opportunity  Lost
DDS,,Arizona,Buckeye,TPL,Completed
